id,screen_name,retweet
1074539600348102657,rapperstory_,false
1074555811429404672,Danii_bebe35,true
1074558411214372864,luiscalduch,true
1074558564818149376,dossantos5271,true
1074560548996558848,lacasadegliarti,false
1074570648410841088,Bf_Desert_eagle,true
1074576690544824320,VillaBoyC_Mad,true
1074578137801994241,Monkey31071,true
1074578507668295681,kanoubook,false
1074579603740614656,DruesnePh,true
1074582986056708102,Heraldictours,true
1074584632589475840,62Marianne,false
1074585979372085249,adelestancati,true
1074587520598507520,sdabocconi,true
1074588669959299072,leighhenningham,false
1074589440679526400,MiluVenturaa,true
1074589662390509568,olivierPdt3,false
1074591814139764736,Ney_PasKoal,true
1074591881445732352,Rustydufort,true
1074594054585925632,israel__Mata,true
1074595981260451840,leighhenningham,false
1074596145500966913,MuredduGiovanni,true
1074597522264322048,PLCultureDelhi,false
1074602511175176192,Yan_Pereiraaa,true
1074602590678196224,Yan_Pereiraaa,true
1074603462141321216,croqnu13,true
1074606470572982272,edvis93,true
1074608306386333696,CathRouvier,false
1074614943285157890,VandaCarla3,true
1074626273895424000,basenhave,true
1074628492673847296,ExpressoPB,false
1074630870571642880,foxysud,true
1074631049949429763,romaoperaomnia,false
1074631276890677248,Hiims69,true
1074632365098582017,leveaudechaine,true
1074643169319493632,KevNev90,false
1074645424982626305,sqwzl,false
1074646221715853313,LACELimerick,true
1074650419278753793,LibrettistNet,false
1074654618720878592,JacquelinelTV,true
1074654771070595072,InfoTourismPa,true
1074654966961328128,JacquelinelTV,true
1074658009769361408,hongyeoha,true
1074660073769721857,ppjr1958,true
1074660576842919936,JosyelenG,true
1074663383524352000,LymeRegisTIC,false
1074666275522129920,xxxsthlm,true
1074667045340528640,arianna1910,true
1074673321218899969,RadiowaDwojka,false
1074675196341248000,OperawireNews,true
1074678945201696771,Marcelodno,false
1074679484941524992,france_mulas,false
1074686170049769475,Martiniquela1e,false
1074690980530536448,Buzzyford,true
1074694184366424065,OperaLab,false
1074694489984434177,wagner_w88,false
1074695721452998657,TRwinchester,false
1074696577787277312,dirensanatcom,false
1074697646051348481,dirensanatcom,false
1074699934987886593,_neanmoins_,true
1074701585673015297,vijaysharma1122,true
1074707434961285120,Lavillet2,true
1074708596900982789,dpapon,true
1074710916963303427,dordine_cello,false
1074714807583076352,BDX_Culture,true
1074716131489931265,Eliandroo_,true
1074716257604300800,Eliandroo_,true
1074716474122616833,Eliandroo_,true
1074716499460403201,Eliandroo_,true
1074717066656141312,mayerfeld33,true
1074718138158252032,djivanrodrigues,true
1074719640927027200,Hadjy7,true
1074721371412971521,Neimadaniela,true
1074724991046967302,dirensanatcom,true
1074725014686105600,dirensanatcom,true
1074733761915277319,operasb,false
